,0,1,2,3,4,5,6,7,8,tsp_id
0,224.0,17.0,0.0,6.0,13.0,0.0,0.0,0.0,0.0,0
1,35.17000000000007,1.0900000000001455,0.0,0.09000000000014552,0.5,0.0,0.0,2.7100000000000364,0.0,0
2,7.5,4.75,0.0,2.5,3.5,0.0,0.0,0.37999999999919964,0.0,0
3,5.0,4.5,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0
4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.0,1.0,0.0,0.37999999999919964,0.0,0.0,0.0,0.0,0.0,0
8,0.0,2.2599999999983993,1.2599999999983993,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.0,0.6500000000014552,0.6500000000014552,0.0,0.0,0.0,0.0,0.0,0.0,0
10,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,210.5,2.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,2
12,52.5,1.5,0.0,1.5,1.5,0.0,0.0,4.170000000000073,0.0,2
13,13.670000000000073,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
14,1.0799999999999272,0.32999999999992724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
15,0.0,2.3299999999999272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
16,2.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
17,301.0,0.0,0.0,0.0,0.0,0.0,0.0,34.67000000000007,0.0,3
18,595.1700000000001,0.5,0.0,0.0,3.8299999999999272,0.0,0.0,0.0,0.0,4
19,30.0,9.25,0.0,0.0,3.5,0.0,0.0,0.0,0.0,4
20,3.9200000000000728,4.079999999999927,0.0,0.0,1.75,0.0,0.0,0.0,0.0,4
21,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
22,0.5799999999999272,2.4200000000000728,1.75,0.0,0.0,0.0,0.0,0.0,0.0,4
23,0.0,0.15999999999985448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
24,0.0,0.25,0.1999999999998181,0.0,0.0,0.0,0.0,0.0,0.0,4
25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
26,0.0,1.0799999999999272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
27,69.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5
28,234.0,9.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,6
