,0,1,2,3,4,5,6,7,8,9,tsp_id
0,17.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0
1,11.0,8.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0
2,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
3,8.0,4.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
4,10.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1
5,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
6,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
7,0.0,6.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1
8,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1
9,4.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1
10,4.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1
11,9.0,6.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2
12,4.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
13,5.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2
14,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
15,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2
16,0.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,23.0,0.0,2
17,0.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
18,0.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
19,0.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
20,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
21,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,23.0,0.0,2
22,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,23.0,0.0,2
23,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,23.0,0.0,2
24,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,23.0,0.0,2
