,0,1,2,3,4,5,6,7,8,tsp_id
0,23.5,75.0,0.0,0.0,12.5,19.0,0.0,0.0,0.0,1040
1,0.0,64.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,1040
2,8.0,64.32999999999993,0.0,0.0,45.0,5.0,0.0,0.0,0.0,1040
3,0.0,25.829999999999927,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1040
4,5.75,6.829999999999927,0.0,0.0,6.829999999999927,0.0,0.0,0.0,0.0,1040
5,46.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1040
6,0.0,42.0,0.0,0.0,8.75,0.0,0.0,0.0,0.0,1040
7,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040
8,0.0,39.42000000000007,0.0,0.0,9.75,0.0,0.0,0.0,0.0,1040
9,0.0,34.5,0.0,0.0,10.670000000000073,0.0,0.0,0.0,0.0,1040
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040
11,0.0,39.0,0.0,0.0,19.329999999999927,0.0,0.0,0.0,0.0,1040
12,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040
13,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1040
15,0.0,14.0,0.0,7.75,1.5,0.0,0.0,0.0,0.0,1041
16,0.0,29.5,0.0,29.5,12.5,0.0,0.0,0.0,0.0,1041
17,0.0,18.0,0.0,0.0,17.0,18.0,0.0,0.0,0.0,1041
18,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1041
19,0.0,4.5,0.0,0.0,12.5,0.0,0.0,0.0,0.0,1041
20,0.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,1041
21,52.32999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1041
22,0.0,11.5,0.0,0.0,11.5,0.0,0.0,0.0,0.0,1041
23,0.0,9.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,1042
24,0.0,7.5,0.0,0.0,7.5,0.0,0.0,0.0,0.0,1042
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
30,0.0,75.5,0.0,0.0,75.5,0.0,0.0,0.0,0.0,1042
31,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1042
32,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
33,0.0,16.5,0.0,0.0,33.0,0.0,0.0,0.0,0.0,1042
34,0.0,17.5,0.0,0.0,17.5,0.0,0.0,0.0,0.0,1042
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
38,0.0,19.0,0.0,0.0,27.670000000000073,0.0,0.0,0.0,0.0,1042
39,0.0,5.199999999999818,0.0,0.0,7.430000000000291,0.0,0.0,0.0,0.0,1042
40,0.0,82.05000000000018,0.0,0.0,25.800000000000182,0.0,0.0,0.0,0.0,1042
41,161.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1042
42,152.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
43,0.0,9.5,9.5,0.0,14.25,0.0,0.0,0.0,0.0,1042
44,22.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042
45,0.0,26.329999999999927,15.0,0.0,20.0,0.0,0.0,0.0,0.0,1042
46,0.0,9.5,0.0,9.5,10.0,0.0,0.0,0.0,0.0,1043
47,0.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1043
48,0.0,1.0,0.0,0.0,1.3299999999999272,0.0,0.0,0.0,0.0,1043
49,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1043
50,0.0,10.5,2.0,2.5,2.0,0.0,0.0,0.0,0.0,1043
51,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1043
52,0.0,16.5,2.0,2.5,2.0,0.0,0.0,0.0,0.0,1043
53,0.0,27.5,2.0,2.5,2.0,0.0,0.0,0.0,0.0,1043
54,0.0,34.5,1.5,4.0,1.5,0.0,0.0,0.0,0.0,1043
55,0.0,33.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1043
56,0.0,32.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,1043
57,0.0,32.0,0.0,6.5,1.5,0.0,0.0,0.0,0.0,1043
58,0.0,38.0,0.0,6.5,36.5,0.0,0.0,0.0,0.0,1043
