,0,1,2,3,4,5,6,7,8,9,tsp_id
0,14.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
1,9.0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0
2,4.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0
3,5.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
4,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
7,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2
12,7.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,2
13,8.0,5.0,2.0,2.0,1.0,0.0,0.0,1.0,26.0,0.0,2
14,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
15,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
16,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
17,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3
18,21.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4
19,9.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4
20,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
21,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
22,11.0,15.0,7.0,2.0,1.0,0.0,0.0,0.0,27.0,0.0,4
23,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,4
24,0.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
25,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
26,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
27,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5
28,12.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6
29,6.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,6
30,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6
31,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,6
32,0.0,15.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6
33,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,6
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6
35,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
36,13.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8
37,14.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8
38,7.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,8
39,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8
40,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,8
41,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9
42,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
43,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
44,18.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12
45,10.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13
46,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,13
47,5.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,19.0,0.0,13
48,4.0,7.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13
49,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
50,7.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
51,0.0,22.0,10.0,2.0,0.0,0.0,0.0,0.0,19.0,0.0,13
52,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
53,5.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
54,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
55,13.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,15
56,9.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,27.0,0.0,15
57,8.0,5.0,0.0,2.0,0.0,0.0,0.0,1.0,27.0,0.0,15
58,11.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,22.0,0.0,16
59,12.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,16
60,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16
61,15.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,17
62,7.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,24.0,0.0,17
63,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,17
64,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,24.0,0.0,17
65,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,0.0,17
66,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,18
67,14.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19
68,7.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,19
69,0.0,7.0,10.0,0.0,2.0,0.0,0.0,0.0,28.0,0.0,19
70,0.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19
71,6.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19
72,7.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,19
73,11.0,3.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,20
74,6.0,5.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20
75,4.0,5.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,20
76,18.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,20.0,0.0,21
77,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
78,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23
79,13.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24
80,9.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,24
81,7.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,24
82,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,24
83,18.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,25
84,12.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,25
85,5.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25
86,7.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,29.0,0.0,25
87,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25
88,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,25
89,9.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,26
90,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,26
